epoch,steps,training step,training data,training loss,training prec1,training prec5,training error1,training error5,validation step,validation data,validation loss,validation prec1,validation prec5,validation error1,validation error5
85,33150,0.013416092823713253,0.002424161862104367,0.1232259508031301,95.78725961538461,99.9619391025641,4.212740384615387,0.0380608974358978,0.013987526108946982,0.011147936688193793,0.3209651047706604,90.11,99.67,9.89,0.3299999999999983
86,33540,0.013558170734307705,0.0023920352642352763,0.11633692629253253,96.03565705128206,99.96794871794872,3.964342948717942,0.0320512820512846,0.014011295535896398,0.01119232177734375,0.3203901959896088,90.25,99.7,9.75,0.29999999999999716
87,33930,0.013475960340255347,0.0020345859038524137,0.11293432202954323,96.19391025641026,99.95592948717949,3.8060897435897374,0.044070512820511,0.013825250577323044,0.010105449942093862,0.3202678236961365,90.3,99.67,9.700000000000003,0.3299999999999983
88,34320,0.013632859327854255,0.002129082802014473,0.11202796207597622,96.19391025641026,99.9599358974359,3.8060897435897374,0.0400641025641022,0.01425116877012615,0.010054938400848002,0.32602333784103393,90.35,99.74,9.650000000000006,0.2600000000000051
89,34710,0.013492073768224472,0.0019526909559200972,0.1066190115438822,96.30809294871794,99.96594551282051,3.691907051282058,0.034054487179489,0.014235894891280161,0.0117448221279096,0.3254683521747589,90.51,99.69,9.489999999999995,0.3100000000000023
90,35100,0.0140855685258523,0.002421270272670648,0.10364868911222005,96.54246794871794,99.97796474358974,3.457532051282058,0.022035256410262605,0.013917083981670911,0.010630951652043983,0.3298298073768616,90.29,99.71,9.709999999999994,0.29000000000000625
91,35490,0.013971986526098008,0.002084777294061123,0.10286628698977904,96.50040064102564,99.97596153846153,3.499599358974365,0.024038461538467004,0.01405774188947074,0.01017170012751712,0.3324927351951599,90.17,99.69,9.829999999999998,0.3100000000000023
92,35880,0.013959321608910193,0.002599940544519669,0.10012665237180697,96.58653846153847,99.97195512820512,3.413461538461533,0.028044871794875803,0.01564225365843954,0.01180935509597199,0.3311859009742737,90.43,99.66,9.569999999999993,0.3400000000000034
93,36270,0.014023409745632074,0.002158640592526167,0.09806204963570986,96.58453525641026,99.96594551282051,3.4154647435897374,0.034054487179489,0.01603629015669038,0.012459441076351118,0.3355741093635559,90.38,99.71,9.620000000000005,0.29000000000000625
94,36660,0.013532668504959497,0.0018849678528614533,0.09491756271379881,96.78084935897436,99.98197115384616,3.219150641025635,0.018028846153839595,0.014169439484801474,0.01041534882557543,0.3314679911136627,90.51,99.69,9.489999999999995,0.3100000000000023
95,37050,0.013433076785160945,0.0019914370316725513,0.0948988869977303,96.73277243589743,99.97596153846153,3.267227564102569,0.024038461538467004,0.0142432979390591,0.011294971538495414,0.33468589515686037,90.36,99.73,9.64,0.269999999999996
96,37440,0.013503409043336526,0.0021866119824923004,0.09243779859672754,96.84495192307692,99.97796474358974,3.15504807692308,0.022035256410262605,0.014033193829693372,0.010496359837206103,0.34437093768119814,90.33,99.71,9.670000000000002,0.29000000000000625
97,37830,0.013513989326281426,0.0022759309181800257,0.08938907961337231,97.0292467948718,99.96995192307692,2.9707532051282044,0.030048076923080203,0.014044278784643245,0.009686132020588163,0.3406828474521637,90.36,99.76,9.64,0.23999999999999488
98,38220,0.013618095104510968,0.0021512862963554186,0.08635992456514102,97.0292467948718,99.97996794871794,2.9707532051282044,0.020032051282058205,0.013956130305423012,0.011133347885518135,0.3465369788169861,90.33,99.69,9.670000000000002,0.3100000000000023
99,38610,0.013485188973255647,0.0018843406285995092,0.08695757649361323,97.01923076923077,99.98397435897436,2.9807692307692264,0.016025641025635196,0.01394708548920064,0.011353224138670329,0.34680370531082155,90.25,99.71,9.75,0.29000000000000625
100,39000,0.013510515750982822,0.002059123454949795,0.08435757895692801,97.07932692307692,99.97796474358974,2.92067307692308,0.022035256410262605,0.01401388796069954,0.01094856443284433,0.3526466739654541,90.22,99.71,9.780000000000001,0.29000000000000625
101,39390,0.01351325328533466,0.002776021223801833,0.08391796377702401,97.17548076923077,99.97796474358974,2.8245192307692264,0.022035256410262605,0.014142528364929971,0.010580678529377226,0.35557073221206664,90.22,99.66,9.780000000000001,0.3400000000000034
102,39780,0.013487771841195914,0.001984374339763935,0.082330167441605,97.16546474358974,99.98798076923077,2.8345352564102626,0.012019230769226397,0.013819193538231186,0.010351685029041918,0.3606952778816223,90.26,99.71,9.739999999999995,0.29000000000000625
103,40170,0.013495164039807443,0.002187816301981608,0.07992431277839038,97.28165064102564,99.96794871794872,2.718349358974365,0.0320512820512846,0.014241951930372022,0.00988491879233831,0.36612555112838746,90.18,99.7,9.819999999999993,0.29999999999999716
104,40560,0.013681595753400754,0.002124476432800293,0.07895062460731238,97.36778846153847,99.97996794871794,2.632211538461533,0.020032051282058205,0.014034579071817519,0.011377295361289496,0.35711959314346314,90.39,99.7,9.61,0.29999999999999716
105,40950,0.013444608908433181,0.0019747373385307116,0.0778935631402792,97.29767628205128,99.99599358974359,2.7023237179487154,0.004006410256408799,0.014180325254609313,0.009770218330093576,0.3564478349685669,90.27,99.74,9.730000000000004,0.2600000000000051
106,41340,0.013651435191814717,0.0022812519318018204,0.0780988522256032,97.32371794871794,99.98197115384616,2.676282051282058,0.018028846153839595,0.014283388475828532,0.01085662841796875,0.3657515203475952,90.15,99.7,9.849999999999994,0.29999999999999716
